Discipline,Faculty,Specific Research
Theoretical Computer Science,Diptapriyo Majumdar,"Parameterized Complexity, Graph Algorithms, FPT algorithms for problems arising in access control"
Theoretical Computer Science,Syamantak Das,Intersection of theoretical computer science and discrete optimization
Very Large Scale Integration [VLSI],Anuj Grover,"Ultra Low Power In-Memory Compute, Safety and security in hardware; and Error resilient energy efficient systems"
Very Large Scale Integration [VLSI],Mohammad Hashmi,"Multi-band RF Circuits & Systems, PA Design and Linearization, Advanced RF Instrumentation SI/PI and EMC Analysis"
Very Large Scale Integration [VLSI],Ram Krishna Ghosh,"Computational nanoelectronics, Spintronics, Quantum transport simulation, Device modeling"
Very Large Scale Integration [VLSI],Sneh Saurabh,"Nanoelectronics, Exploratory Electronic Devices, Energy-Efficient Systems VLSI Design and Verification and CAD for VLSI"
Very Large Scale Integration [VLSI],Sujay Deb,"Heterogeneous System Architectures (HSA), SoC Design & Test, Design of novel interconnect architectures for multi-core chips"
Very Large Scale Integration [VLSI],Sumit J Darak,"Intelligent, Reconfigurable and Self-sustainable wireless radio, Machine learning for wireless networks, Algorithms to architectures"
Virtualization,Rinku Shah,"Software-Defined Networking, Data plane programming, 4G/5G mobile networks"
Virtualization,Piyus Kedia,"System security, safe languages, virtualization"
Wireless Communication,Anand Srivastava,"Digital Communications, Wireless and Optical communications, Optical Networks"
Wireless Communication,Arani Bhattacharya,"Low latency compute and machine learning services, Video streaming and physical layer of wireless networks"
Wireless Communication,Ranjan Bose,"Secure Communications, Coding Theory, 5G Security"
Wireless Communication,Sanjit Krishnan Kaul,"Networking for Cyber Physical Systems, Networks of Autonomous Vehicles, and Autonomous Driving"
Wireless Communication,Shobha Sundar Ram,"Conceptualize Model Design and Test Electromagnetic Sensors, EMI based sensing of energy consumption"
Wireless Communication,Vivek Bohara,"Device-to-device communication, Visible Light Communication, Hybrid VLC-RF architecture"
